,WT
0,1.05892747946558
1,0.899961696712387
2,0.987642734793414
3,1.4438039461918997
4,0.726139245472772
5,1.0363370432505201
6,1.08703988369327
7,1.31888779507176
8,1.54404339038716
9,1.3943711398628997
10,1.14500940321502
11,1.4395986858549898
12,1.2160553284823201
13,1.2320093592906398
14,1.0400363626953
15,1.07227433085462
16,0.9996484400435841
17,0.7449376032958
18,1.19507376796078
19,0.761144796586744
20,1.41036886792589
21,0.82204760150763
22,0.8210386702449441
23,1.1281887170916
24,1.1478461528561201
25,0.964744231535565
26,1.01298779193642
27,0.977910306752533
28,1.4076298863878998
29,0.817718034900034
30,1.09772912788933
31,1.85155627829923
32,0.97948016228937
33,1.6647650405746799
34,0.862272613336955
35,0.971628618269622
36,0.906840782860376
37,0.966279435577648
38,0.7917658868272941
39,1.48163655632846
40,0.8801443725020641
41,1.16332789327118
42,2.3219164104334
43,1.4855265573868897
44,1.04006189415111
45,0.8604776117340559
46,1.08610351669221
47,0.730416839557904
48,1.35665214218829
49,1.12746116879357
50,1.19279520913014
51,1.28357217476554
52,1.09365249765881
53,1.3507220330150198
54,0.94311313906213
55,0.8995855676413521
56,2.15776156640661
57,1.44211920801063
58,0.9778498385077009
59,0.8363791377600358
60,1.09726844244642
61,1.4815009866483
62,1.32095961939894
63,1.16474703306095
64,0.9171123278764941
65,1.17936435161527
66,0.964928053929638
67,1.74297972099978
68,1.0438754757493298
69,1.3991249676409998
70,0.7652218885098291
71,1.7710966357559499
72,1.29548705081976
73,0.933794719212514
74,0.955218073156607
75,0.854153694447473
76,1.03890514295599
77,1.44211753039398
78,0.8800397804128741
79,0.7989565448136079
80,0.8226510493747621
81,2.07345118574132
82,1.31602391993811
83,1.44083220336097
84,1.46269708472376
85,1.69944881895941
86,0.9688842475571479
87,1.03372024775851
88,1.3937496383938999
89,1.01659409944141
90,1.15092256972223
91,1.9969265773013503
92,0.8732397717222651
93,1.01468959331713
94,1.11026654625481
95,1.11141834853936
96,0.967926890244735
97,0.962701623190039
98,0.8229317865057959
99,1.08690531637693
100,1.15208192549833
101,1.15310911750638
102,0.951754356238239
103,0.8420781707132041
104,0.902939499827699
105,1.2547677288782901
106,1.21942075461827
107,1.05842969240572
108,0.9935532433501499
109,0.874307485128516
110,0.9991814521056971
111,0.9439827624631929
112,0.9569454400606621
113,1.6044807462780901
114,1.02162312572854
115,0.938721527148446
116,1.06619770506305
117,1.06222757106749
118,0.8888308623266891
119,1.0323652219568902
120,1.10513289571656
121,1.3255979422056599
122,0.7979919282280509
123,1.2945023167287
124,0.9097100925524599
125,1.15019516452244
126,0.7444072175434772
127,0.8164863018550951
128,1.50672780351455
129,0.907556985408445
130,1.06146568826535
131,1.22868575872641
132,0.8775595799395269
133,0.8855731775979351
134,1.06243226712159
135,0.979490188513393
136,1.21773991231949
137,1.41597289482079
138,1.05406199928749
139,1.1614615448985302
140,0.9994505217642379
141,0.8750504027543271
142,0.889922901293321
143,0.812166885164468
144,0.897638518569998
145,0.9749195373464921
146,1.34285938406117
147,1.84172119137086
148,0.8897564955879229
149,0.7820767163414821
150,0.765983833901432
151,1.14640507275212
152,0.7900498592359569
153,1.40290157524578
154,0.9549110917905079
155,1.2246720109220501
156,1.1113345040945701
157,0.9053512746446278
158,0.9536031640177051
159,1.20527482690401
160,0.859997406677451
161,1.17163158161264
162,0.799916571115029
163,0.692439112356378
164,1.1508998154469499
165,0.7591919950070121
166,0.924635432867226
167,0.9479519775101409
168,1.28502818289465
169,1.1581230048943603
170,1.5906831499725902
171,0.703859588236479
172,1.1033216374443502
173,0.7800601332370509
174,0.918947840937126
175,0.7624357125353449
176,1.20587847641948
177,0.8680221193024391
178,1.05542262975339
179,0.990746871689298
180,0.8912158696043341
181,1.2836097216301798
182,0.710150958234365
183,0.990486976646373
184,0.8626638199072559
185,0.992545441782625
186,1.1276613667085902
187,1.2118638024364499
188,0.9145956442320241
189,0.8666247315818821
190,1.15663969192839
191,1.34028955443527
192,1.32381924797176
193,1.10085228382966
194,1.08277287291355
195,1.00239078459727
196,0.845580442746347
197,0.6997244434772522
198,0.8388992600572359
199,1.01093493804762
200,0.7887113842329151
201,1.36976566218358
202,1.45770085393532
203,1.0494705602371401
204,1.1070055072918101
205,1.01443088743864
206,0.923506210732451
207,1.19762059156444
208,0.8338006017252758
209,1.11195346335569
210,1.34384542061178
211,1.15888342067183
